Time,Torque,Temp_1,Temp_2
1628271964.25, -150.09,74.41,74.13
1628271964.29, -150.68,74.40,74.13
1628271964.33, -150.68,74.50,74.21
1628271964.38, -26.27,74.53,74.19
1628271964.42, 06.44,74.51,74.20
1628271964.46, 34.18,74.50,74.21
1628271964.51, -0.48,74.52,74.23
1628271964.55, -2.90,74.51,74.21
1628271964.60, -1.64,74.51,74.21
1628271964.64, -1.64,74.52,74.21
1628271964.69, -1.64,74.52,74.22
1628271964.73, -1.64,74.51,74.22
1628271964.78, -1.64,74.51,74.21
1628271964.82, -1.64,74.50,74.21
1628271964.86, -1.64,74.50,74.24
1628271964.91, -2.15,74.51,74.22
1628271964.95, -2.15,74.52,74.21
1628271965.00, -2.15,74.52,74.21
1628271965.04, -2.15,74.51,74.21
1628271965.09, -2.15,74.51,74.23
1628271965.13, -2.15,74.50,74.23
1628271965.17, -2.15,74.51,74.22
1628271965.22, -2.15,74.50,74.22
1628271965.26, -2.15,74.51,74.20
1628271965.31, -2.15,74.50,74.21
1628271965.35, -2.15,74.51,74.21
1628271965.40, -2.15,74.49,74.22
1628271965.44, -2.15,74.50,74.21
1628271965.48, -2.15,74.52,74.21
1628271965.53, -2.15,74.48,74.22
1628271965.57, -2.15,74.48,74.18
1628271965.62, -2.15,74.49,74.19
1628271965.66, -2.15,74.48,74.19
1628271965.71, -2.15,74.48,74.17
1628271965.75, -2.15,74.48,74.17
1628271965.80, -2.15,74.48,74.18
1628271965.84, -2.15,74.48,74.17
1628271965.89, -2.15,74.48,74.17
1628271965.93, -2.67,74.47,74.18
1628271965.98, -2.67,74.47,74.17
1628271966.02, -3.43,74.47,74.19
1628271966.07, -3.43,74.46,74.18
1628271966.11, -4.23,74.47,74.17
1628271966.16, -4.23,74.46,74.17
1628271966.20, -4.76,74.45,74.16
1628271966.24, -4.76,74.47,74.14
1628271966.29, -4.76,74.46,74.16
1628271966.33, -4.76,74.45,74.17
1628271966.38, -5.27,74.46,74.17
1628271966.42, -5.27,74.46,74.18
1628271966.47, -5.27,74.45,74.16
1628271966.51, -5.27,74.45,74.16
1628271966.56, -5.27,74.45,74.17
1628271966.60, -5.27,74.45,74.15
1628271966.65, -5.27,74.46,74.15
1628271966.69, -5.27,74.46,74.14
1628271966.74, -5.27,74.44,74.15
