Time,Current,Velocity
1628271891.01,0,0
1628271891.02,-2,0
1628271891.04,-2,0
1628271891.07,0,0
1628271891.09,0,0
1628271891.11,0,0
1628271891.13,0,0
1628271891.15,0,0
1628271891.16,-2,0
1628271891.19,0,0
1628271891.21,-2,0
1628271891.23,-2,0
1628271891.24,-2,0
1628271891.27,-2,0
1628271891.29,-2,0
1628271891.31,0,0
1628271891.33,-2,0
1628271891.35,0,0
1628271891.37,0,0
1628271891.39,-2,0
1628271891.41,0,0
1628271891.43,0,0
1628271891.44,0,0
1628271891.47,0,0
1628271891.49,0,0
1628271891.51,0,0
1628271891.53,-2,0
1628271891.55,0,0
1628271891.56,0,0
1628271891.59,0,0
1628271891.61,0,0
1628271891.63,0,0
1628271891.65,0,0
1628271891.67,-2,0
1628271891.68,-2,0
1628271891.71,-2,0
1628271891.73,-2,0
1628271891.75,0,0
1628271891.77,0,0
1628271891.79,0,0
1628271891.81,-2,0
1628271891.82,0,0
1628271891.85,0,0
1628271891.87,0,0
1628271891.89,-2,0
1628271891.90,-2,0
1628271891.93,-2,0
1628271891.95,-2,0
1628271891.97,0,0
1628271891.99,-2,0
1628271892.01,-2,0
1628271892.03,0,0
1628271892.05,0,0
1628271892.07,0,0
1628271892.09,0,0
1628271892.11,0,0
1628271892.13,-2,0
1628271892.14,0,0
1628271892.17,0,0
1628271892.19,0,0
1628271892.21,-2,0
1628271892.23,-2,0
1628271892.25,0,0
1628271892.27,-2,0
1628271892.29,0,0
1628271892.31,0,0
1628271892.33,0,0
1628271892.35,0,0
1628271892.37,0,0
1628271892.39,0,0
1628271892.41,-2,0
1628271892.42,-2,0
1628271892.45,0,0
1628271892.47,0,0
1628271892.48,0,0
1628271892.50,-3,0
1628271892.53,0,0
1628271892.55,-2,0
1628271892.56,0,0
1628271892.59,-3,0
1628271892.61,0,0
1628271892.62,0,0
1628271892.65,0,0
1628271892.67,-2,0
1628271892.68,0,0
1628271892.71,0,0
1628271892.73,0,0
1628271892.74,0,0
1628271892.77,-2,0
1628271892.79,0,0
1628271892.81,-2,0
1628271892.83,-2,0
1628271892.85,0,0
1628271892.87,0,0
1628271892.89,-2,0
1628271892.91,-2,0
1628271892.93,0,0
1628271892.95,0,0
1628271892.97,-2,0
1628271892.99,0,0
1628271893.01,0,0
1628271893.03,0,0
1628271893.05,0,0
1628271893.07,0,0
1628271893.09,0,0
1628271893.11,0,0
1628271893.13,-2,0
1628271893.15,-2,0
1628271893.16,-2,0
1628271893.19,-2,0
1628271893.21,0,0
1628271893.23,0,0
1628271893.25,-2,0
1628271893.26,-2,0
1628271893.29,0,0
1628271893.31,0,0
1628271893.33,0,0
1628271893.34,0,0
1628271893.36,0,0
1628271893.38,0,0
1628271893.40,0,0
1628271893.43,0,0
1628271893.45,-2,0
1628271893.47,0,0
1628271893.49,-2,0
1628271893.51,-2,0
1628271893.53,0,0
1628271893.55,0,0
1628271893.57,-2,0
1628271893.59,-2,0
1628271893.60,0,0
1628271893.63,0,0
1628271893.65,0,0
1628271893.67,0,0
